               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065491,            0.087785,            0.041458,             0.55986,              0.1062,             0.11629,            0.058314,             0.06452,            0.070265,            0.038399,            0.070476,           0.0032804,           0.0032804
                   1,            0.063721,            0.088866,            0.038916,             0.49903,             0.12044,             0.11004,             0.05731,            0.066128,             0.06632,            0.039247,            0.040433,           0.0065701,           0.0065701
                   2,            0.066021,            0.083108,            0.037911,             0.62478,            0.079815,            0.085204,            0.046659,            0.073265,            0.069782,            0.041384,            0.010345,           0.0098158,           0.0098158
                   3,            0.066141,             0.08517,            0.036545,             0.62701,             0.11292,             0.13083,            0.061078,            0.068975,            0.065424,            0.038078,            0.009802,            0.009802,            0.009802
                   4,            0.065102,            0.081335,             0.03594,              0.6571,             0.11366,             0.10847,            0.053794,            0.068375,            0.065649,            0.037384,            0.009802,            0.009802,            0.009802
                   5,            0.064524,            0.083104,            0.035518,             0.70277,             0.09264,             0.10531,            0.052837,            0.068455,            0.065455,            0.038732,            0.009736,            0.009736,            0.009736
                   6,            0.063947,            0.078622,             0.03399,             0.53495,             0.11482,             0.11332,            0.057343,            0.068218,            0.068021,            0.040931,             0.00967,             0.00967,             0.00967
                   7,            0.064181,             0.07813,            0.033673,             0.61771,             0.10804,             0.10938,            0.051179,            0.067635,             0.06622,            0.037205,            0.009604,            0.009604,            0.009604
                   8,            0.063162,            0.082005,            0.032943,             0.67012,             0.10867,             0.12666,             0.06312,            0.067204,            0.065429,            0.036913,            0.009538,            0.009538,            0.009538
                   9,            0.063282,            0.080638,            0.032212,             0.62368,              0.1097,             0.11363,            0.053792,            0.066575,            0.066121,            0.037621,            0.009472,            0.009472,            0.009472
                  10,            0.061955,            0.076393,            0.031632,             0.63556,             0.10722,             0.10492,            0.051026,             0.06737,            0.066701,            0.037902,            0.009406,            0.009406,            0.009406
                  11,            0.061769,            0.079888,            0.030611,             0.68175,             0.10098,             0.11742,            0.058932,            0.066545,            0.065727,            0.038217,             0.00934,             0.00934,             0.00934
                  12,            0.061719,            0.078964,            0.030973,             0.64476,             0.11492,             0.12888,            0.060823,            0.066688,            0.066545,            0.036952,            0.009274,            0.009274,            0.009274
                  13,            0.060541,            0.080589,             0.02935,              0.7405,            0.094541,             0.13031,            0.059227,            0.067279,            0.066791,             0.03738,            0.009208,            0.009208,            0.009208
                  14,            0.061076,            0.075832,            0.028921,             0.53446,             0.13487,             0.11454,            0.054612,            0.066568,            0.066911,            0.037682,            0.009142,            0.009142,            0.009142
                  15,            0.060559,            0.075113,            0.029522,             0.59377,              0.1486,             0.13704,            0.065762,            0.066237,            0.066382,            0.035886,            0.009076,            0.009076,            0.009076
                  16,            0.059862,             0.07428,            0.028923,             0.71336,             0.11429,             0.13501,            0.058689,            0.067777,            0.066909,            0.036059,             0.00901,             0.00901,             0.00901
                  17,             0.05965,            0.076056,            0.028625,             0.61793,              0.1318,               0.122,            0.061393,            0.066052,            0.065819,            0.036968,            0.008944,            0.008944,            0.008944
                  18,            0.059648,            0.074659,            0.028572,             0.73727,             0.10983,              0.1195,            0.059767,            0.066979,            0.068163,            0.037347,            0.008878,            0.008878,            0.008878
                  19,            0.060281,            0.076148,            0.027835,             0.59898,             0.15661,             0.13866,            0.071765,            0.067598,            0.066229,            0.038173,            0.008812,            0.008812,            0.008812
                  20,            0.058199,            0.071097,            0.027057,             0.63612,             0.11003,              0.1507,            0.071494,            0.066383,            0.066651,            0.037361,            0.008746,            0.008746,            0.008746
                  21,            0.058209,            0.077077,            0.026975,             0.73319,             0.11037,             0.14863,             0.07027,            0.066245,            0.066314,            0.037015,             0.00868,             0.00868,             0.00868
                  22,             0.05824,            0.073041,            0.026394,             0.53946,             0.14347,             0.13016,            0.065909,            0.066633,            0.069065,             0.03638,            0.008614,            0.008614,            0.008614
                  23,            0.057237,            0.071968,            0.026168,              0.6495,             0.13076,             0.15975,            0.085662,            0.066779,             0.06721,            0.037563,            0.008548,            0.008548,            0.008548
                  24,            0.058742,            0.073957,            0.026637,             0.63518,             0.12007,             0.12231,            0.060555,            0.066281,            0.068007,            0.037864,            0.008482,            0.008482,            0.008482
                  25,            0.057797,            0.072132,            0.025916,             0.56841,             0.15044,             0.12629,            0.061033,            0.066345,            0.068003,            0.037735,            0.008416,            0.008416,            0.008416
                  26,            0.056796,             0.07102,            0.025317,             0.63828,             0.12189,             0.12159,            0.066261,             0.06516,            0.067136,            0.036635,             0.00835,             0.00835,             0.00835
