               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10933,            0.087581,             0.10564,                   0,                   0,                   0,                   0,             0.10287,            0.070463,             0.10281,            0.070476,           0.0032804,           0.0032804
                   1,             0.10486,            0.093881,             0.10329,           0.0004809,           0.0084114,           0.0005718,          0.00020333,              0.1016,            0.072263,             0.10317,             0.04045,           0.0065876,           0.0065876
                   2,             0.10223,            0.097484,             0.10063,            0.095374,          0.00040279,          5.3281e-05,          1.1498e-05,                 nan,                 nan,              1.4219,            0.010397,           0.0098683,           0.0098683
                   3,             0.10093,            0.094344,            0.091253,           0.0004801,          0.00089167,          7.7585e-05,          1.7396e-05,             0.11417,             0.58309,             0.21191,           0.0098812,           0.0098812,           0.0098812
                   4,            0.097668,             0.09429,             0.07503,            0.016134,            0.014138,          0.00026679,          6.7102e-05,            0.097344,             0.08914,             0.07719,           0.0098812,           0.0098812,           0.0098812
                   5,            0.094981,            0.094421,            0.070334,            0.032299,           0.0061039,          0.00065879,          0.00017677,            0.097911,            0.091753,            0.068913,           0.0098416,           0.0098416,           0.0098416
                   6,            0.092618,            0.094154,            0.067582,          0.00059909,            0.023556,          0.00084834,           0.0002045,            0.093405,            0.078866,            0.064667,            0.009802,            0.009802,            0.009802
                   7,            0.091112,            0.096358,            0.065233,            0.064716,           0.0046901,          0.00082718,          0.00024105,            0.091531,            0.086295,            0.063254,           0.0097624,           0.0097624,           0.0097624
                   8,            0.089272,            0.099536,            0.064524,             0.22571,           0.0047037,           0.0016267,          0.00043994,            0.090135,            0.079594,            0.063014,           0.0097228,           0.0097228,           0.0097228
                   9,            0.087906,            0.096193,            0.063164,             0.30586,           0.0076253,           0.0037842,           0.0011386,            0.088881,            0.073124,             0.06136,           0.0096832,           0.0096832,           0.0096832
                  10,             0.08588,            0.096832,            0.062398,             0.35626,           0.0070412,           0.0042097,            0.001348,            0.084705,            0.076957,            0.059941,           0.0096436,           0.0096436,           0.0096436
                  11,            0.084666,            0.090445,            0.061439,             0.50219,           0.0082985,           0.0057588,           0.0018145,               0.083,            0.074836,            0.059413,            0.009604,            0.009604,            0.009604
                  12,            0.084223,            0.095728,            0.060454,              0.4459,            0.013442,           0.0071431,           0.0023754,            0.084167,            0.075614,             0.05896,           0.0095644,           0.0095644,           0.0095644
                  13,            0.082985,            0.098543,            0.059349,             0.33266,            0.010513,           0.0079438,           0.0018512,            0.084017,            0.076187,             0.05886,           0.0095248,           0.0095248,           0.0095248
                  14,            0.082384,            0.095308,             0.05941,             0.39181,            0.010437,           0.0065581,           0.0021174,            0.083436,            0.074121,            0.058413,           0.0094852,           0.0094852,           0.0094852
                  15,            0.081972,            0.093488,             0.06026,             0.70086,           0.0082924,           0.0079405,           0.0022123,            0.084434,            0.073866,            0.058415,           0.0094456,           0.0094456,           0.0094456
                  16,            0.080809,            0.090862,            0.058129,             0.49573,            0.018073,            0.011668,            0.003922,            0.080226,            0.072268,            0.055748,            0.009406,            0.009406,            0.009406
                  17,            0.079762,            0.094111,             0.05807,             0.39656,            0.012869,            0.011459,           0.0040848,             0.08117,            0.072778,            0.056208,           0.0093664,           0.0093664,           0.0093664
                  18,             0.08009,            0.095649,            0.057812,             0.68038,            0.015725,            0.011764,           0.0038838,            0.079296,            0.075252,            0.055066,           0.0093268,           0.0093268,           0.0093268
                  19,            0.079416,            0.093142,            0.056804,             0.64978,            0.016549,            0.014108,           0.0048313,            0.081709,            0.072045,            0.056026,           0.0092872,           0.0092872,           0.0092872
                  20,            0.078749,            0.089356,            0.057089,              0.5552,            0.021349,             0.01296,           0.0048573,            0.079238,            0.072883,            0.055139,           0.0092476,           0.0092476,           0.0092476
                  21,            0.078199,            0.091664,            0.055406,             0.72469,            0.027296,            0.016942,           0.0075071,            0.077838,            0.078679,            0.053787,            0.009208,            0.009208,            0.009208
                  22,            0.078232,            0.093225,            0.055426,             0.82715,            0.022693,            0.016587,            0.006395,            0.078718,            0.071677,            0.054098,           0.0091684,           0.0091684,           0.0091684
                  23,            0.076644,            0.092307,            0.054523,             0.65157,            0.025746,            0.017795,           0.0062244,            0.078998,            0.070491,            0.052789,           0.0091288,           0.0091288,           0.0091288
                  24,            0.076459,            0.091864,            0.054482,             0.65704,            0.022059,            0.016931,           0.0064635,             0.07653,            0.072989,            0.053223,           0.0090892,           0.0090892,           0.0090892
                  25,            0.076736,            0.091488,            0.053453,             0.91765,             0.02071,            0.019804,            0.007614,            0.077271,            0.072695,            0.053047,           0.0090496,           0.0090496,           0.0090496
                  26,            0.076584,            0.090555,            0.053029,              0.7916,            0.028331,            0.023563,           0.0096627,            0.076513,            0.072353,            0.051817,             0.00901,             0.00901,             0.00901
                  27,            0.075224,            0.091665,             0.05308,                0.84,            0.021475,             0.02051,           0.0078744,            0.079352,            0.074118,             0.05346,           0.0089704,           0.0089704,           0.0089704
                  28,            0.075772,            0.088002,            0.052445,             0.80571,            0.022929,            0.018346,           0.0067645,            0.076817,            0.074188,            0.052199,           0.0089308,           0.0089308,           0.0089308
                  29,             0.07491,            0.092305,            0.052075,              0.7521,            0.026985,            0.020937,           0.0085231,            0.075154,            0.072372,            0.050144,           0.0088912,           0.0088912,           0.0088912
                  30,            0.074246,            0.090435,            0.051293,              0.8147,            0.026072,            0.022174,           0.0085794,            0.075084,            0.072736,            0.051287,           0.0088516,           0.0088516,           0.0088516
                  31,             0.07463,            0.090484,            0.051281,              0.8862,            0.020524,            0.023266,           0.0093227,            0.075018,            0.073033,             0.05086,            0.008812,            0.008812,            0.008812
                  32,            0.073934,            0.086887,            0.051432,             0.89853,            0.029516,            0.027158,            0.011769,            0.079511,            0.070195,            0.052124,           0.0087724,           0.0087724,           0.0087724
                  33,            0.074035,            0.087919,             0.05085,             0.82236,            0.029878,            0.024767,           0.0093228,            0.075384,            0.071036,            0.050283,           0.0087328,           0.0087328,           0.0087328
                  34,             0.07373,            0.088873,            0.050925,             0.87555,            0.033743,            0.028593,            0.011413,            0.074464,            0.071418,            0.049735,           0.0086932,           0.0086932,           0.0086932
                  35,            0.072541,            0.089053,             0.04999,             0.79385,            0.044702,            0.028776,           0.0099871,            0.075544,            0.075474,            0.049274,           0.0086536,           0.0086536,           0.0086536
                  36,            0.073331,            0.089575,            0.048616,             0.91057,            0.034904,            0.031752,            0.012042,            0.073561,            0.071945,            0.048511,            0.008614,            0.008614,            0.008614
                  37,            0.071923,            0.088011,            0.048422,             0.89013,            0.036279,            0.029743,            0.011396,            0.073582,            0.070796,            0.047985,           0.0085744,           0.0085744,           0.0085744
                  38,            0.071872,            0.090246,            0.047987,             0.84042,            0.031567,            0.032076,            0.012955,            0.073144,            0.073059,            0.048638,           0.0085348,           0.0085348,           0.0085348
                  39,            0.071399,            0.089093,            0.049476,             0.85925,            0.040329,            0.034735,            0.012082,            0.073491,            0.070829,            0.048147,           0.0084952,           0.0084952,           0.0084952
                  40,             0.07105,            0.086744,            0.048778,              0.8914,            0.036711,            0.032324,            0.012984,            0.073296,            0.071612,             0.04797,           0.0084556,           0.0084556,           0.0084556
