               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.048571,             0.06256,            0.015292,              0.4291,             0.17261,              0.1591,            0.078331,              0.0603,            0.073567,            0.028794,           0.0078344,           0.0078344,           0.0078344
                  37,            0.048276,            0.063683,            0.014885,             0.52482,             0.16519,               0.159,            0.075955,            0.061359,            0.074027,            0.029453,           0.0077725,           0.0077725,           0.0077725
                  38,            0.048455,            0.064864,              0.0154,             0.56029,             0.15985,             0.15132,            0.069096,            0.061183,            0.074796,             0.02902,           0.0077106,           0.0077106,           0.0077106
                  39,             0.04848,            0.065914,            0.014969,             0.70551,             0.12589,             0.15085,            0.074974,            0.061482,            0.073785,             0.02949,           0.0076488,           0.0076488,           0.0076488
                  40,            0.047658,            0.062562,            0.015688,             0.53302,             0.18269,             0.16711,            0.084007,            0.061132,            0.074825,             0.03004,           0.0075869,           0.0075869,           0.0075869
                  41,            0.047787,            0.063562,            0.015627,             0.56242,             0.15424,             0.16537,            0.078735,            0.060327,            0.075697,            0.030388,            0.007525,            0.007525,            0.007525
                  42,            0.048311,            0.064918,            0.015406,             0.68854,             0.12624,             0.15307,            0.075226,            0.061071,            0.075333,            0.030436,           0.0074631,           0.0074631,           0.0074631
                  43,            0.047063,            0.063746,            0.014654,             0.58923,             0.17569,             0.19236,            0.084989,            0.061518,            0.074295,            0.029836,           0.0074013,           0.0074013,           0.0074013
                  44,            0.047541,            0.060914,            0.014428,             0.45187,             0.17919,             0.17291,            0.086547,            0.060194,            0.074631,            0.029773,           0.0073394,           0.0073394,           0.0073394
                  45,            0.047339,             0.06306,             0.01499,              0.6232,             0.13051,             0.14038,            0.067631,            0.061506,             0.07596,            0.031592,           0.0072775,           0.0072775,           0.0072775
                  46,            0.047214,            0.061231,            0.014199,             0.69372,             0.13694,             0.17384,            0.079319,            0.061706,            0.076508,             0.03038,           0.0072156,           0.0072156,           0.0072156
                  47,            0.047002,            0.062974,            0.014153,             0.53847,             0.17735,             0.16684,            0.076244,            0.061522,            0.077648,            0.030649,           0.0071538,           0.0071538,           0.0071538
                  48,            0.046269,            0.062645,            0.013827,              0.6209,             0.13886,             0.16651,            0.083725,            0.060948,             0.07693,            0.031092,           0.0070919,           0.0070919,           0.0070919
                  49,            0.045833,            0.059722,            0.014104,             0.56401,              0.1454,             0.14034,            0.070742,            0.061013,            0.075139,            0.029753,             0.00703,             0.00703,             0.00703
                  50,            0.046616,            0.061226,            0.013893,             0.62819,             0.13831,             0.16158,            0.086247,            0.061949,            0.077046,             0.03108,           0.0069681,           0.0069681,           0.0069681
                  51,            0.045465,            0.057155,            0.013687,             0.71863,             0.13776,              0.1736,            0.086357,            0.060201,            0.076721,             0.02964,           0.0069063,           0.0069063,           0.0069063
                  52,            0.046236,            0.062256,            0.013208,             0.50129,             0.14855,             0.14837,            0.072028,            0.061617,            0.075705,            0.030163,           0.0068444,           0.0068444,           0.0068444
                  53,            0.044894,            0.059086,             0.01334,             0.52746,             0.14618,             0.14174,            0.070264,            0.060827,            0.077057,            0.030674,           0.0067825,           0.0067825,           0.0067825
                  54,            0.045073,            0.059952,            0.013097,             0.58666,             0.13004,             0.16407,            0.079291,            0.061627,            0.078711,            0.030202,           0.0067206,           0.0067206,           0.0067206
                  55,            0.045308,            0.059273,            0.013605,             0.56565,              0.1532,             0.17376,            0.079991,            0.061126,            0.076154,            0.030825,           0.0066587,           0.0066587,           0.0066587
                  56,            0.045075,            0.059009,            0.012825,             0.70812,               0.126,             0.15609,             0.07386,             0.06136,            0.076778,            0.030394,           0.0065969,           0.0065969,           0.0065969
                  57,            0.044852,             0.05946,            0.012958,             0.44391,             0.16325,             0.17237,            0.082224,            0.061066,            0.076512,            0.029636,            0.006535,            0.006535,            0.006535
                  58,            0.045427,            0.059953,            0.013208,             0.52471,             0.17399,             0.17299,            0.084545,            0.060805,            0.077842,            0.030184,           0.0064731,           0.0064731,           0.0064731
                  59,             0.04466,            0.055452,            0.012572,             0.46721,             0.18371,             0.17943,            0.089498,            0.061713,            0.077351,            0.030476,           0.0064112,           0.0064112,           0.0064112
                  60,            0.044864,             0.05855,            0.012732,             0.57575,             0.14616,             0.14258,            0.070233,            0.061928,            0.079054,            0.031701,           0.0063494,           0.0063494,           0.0063494
                  61,            0.044051,            0.059476,            0.012302,             0.61562,             0.16247,             0.17477,            0.088044,             0.06159,            0.076739,            0.030785,           0.0062875,           0.0062875,           0.0062875
                  62,            0.044085,            0.056685,            0.012595,             0.51217,             0.18132,             0.16915,            0.083417,             0.06061,            0.077543,            0.030386,           0.0062256,           0.0062256,           0.0062256
