               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.063528,            0.091876,            0.039312,             0.75366,             0.11706,             0.13313,             0.07329,            0.062886,             0.06888,            0.039432,            0.070476,           0.0032804,           0.0032804
                   1,            0.061126,            0.092128,            0.035477,             0.76474,             0.12308,             0.13046,            0.068904,            0.062319,            0.066076,            0.038991,             0.04044,           0.0065774,           0.0065774
                   2,            0.061696,            0.086382,            0.034264,             0.86235,             0.10906,             0.14524,            0.078107,            0.064477,            0.065572,            0.041274,            0.010367,           0.0098377,           0.0098377
                   3,            0.062338,            0.086012,            0.033377,             0.68077,             0.11473,             0.11884,            0.057737,            0.065644,            0.065583,            0.040988,            0.009835,            0.009835,            0.009835
                   4,            0.061883,             0.08652,            0.032599,             0.68082,             0.11087,             0.11645,            0.054834,            0.066435,              0.0656,            0.038618,            0.009835,            0.009835,            0.009835
                   5,            0.061183,            0.084554,            0.032433,             0.81999,            0.099632,             0.10529,            0.051047,            0.066769,            0.066755,            0.042404,             0.00978,             0.00978,             0.00978
                   6,            0.061118,            0.080506,            0.031106,             0.69393,             0.11171,             0.12219,            0.058628,             0.06536,            0.065641,            0.039832,            0.009725,            0.009725,            0.009725
                   7,            0.060277,            0.084562,             0.02919,             0.68029,             0.11098,            0.099199,             0.04511,            0.068106,            0.066989,            0.043429,             0.00967,             0.00967,             0.00967
                   8,             0.06027,            0.084187,              0.0292,             0.69965,             0.13575,             0.14436,            0.072668,            0.065163,             0.06608,            0.037824,            0.009615,            0.009615,            0.009615
                   9,            0.058805,            0.082582,             0.02712,             0.72614,             0.11537,             0.13372,            0.061027,            0.065058,            0.065874,            0.040038,             0.00956,             0.00956,             0.00956
                  10,            0.059239,            0.080322,            0.027368,             0.77806,             0.11739,             0.13163,            0.064337,            0.065103,            0.067238,            0.039717,            0.009505,            0.009505,            0.009505
                  11,            0.058878,              0.0786,            0.026454,             0.75691,             0.10754,             0.12893,            0.061081,            0.066537,            0.067782,            0.040501,             0.00945,             0.00945,             0.00945
                  12,            0.058366,            0.079514,            0.025909,             0.78107,              0.1125,              0.1324,            0.060754,            0.065586,            0.068245,              0.0411,            0.009395,            0.009395,            0.009395
                  13,            0.057034,            0.078479,            0.025235,             0.74618,             0.10359,             0.11874,             0.06023,            0.064816,            0.067826,            0.041448,             0.00934,             0.00934,             0.00934
                  14,            0.057293,            0.078491,            0.024563,             0.66146,             0.11454,             0.13088,            0.062157,            0.065235,            0.067373,            0.040786,            0.009285,            0.009285,            0.009285
                  15,            0.057241,            0.078823,            0.025358,             0.72403,             0.11524,             0.13252,             0.06462,            0.064583,            0.066175,            0.038851,             0.00923,             0.00923,             0.00923
                  16,             0.05691,            0.078761,            0.024603,             0.75065,             0.10203,             0.12246,            0.059654,            0.066292,            0.067798,            0.040749,            0.009175,            0.009175,            0.009175
                  17,             0.05543,            0.075592,            0.024606,             0.70373,             0.12624,             0.14475,            0.074636,            0.065494,            0.067837,            0.039659,             0.00912,             0.00912,             0.00912
                  18,            0.055758,             0.07569,            0.023688,             0.78623,             0.11463,             0.12868,             0.06505,            0.065126,            0.069074,            0.042387,            0.009065,            0.009065,            0.009065
                  19,            0.056106,            0.076185,            0.023301,             0.63697,             0.11481,             0.12394,            0.060918,            0.065851,            0.068241,            0.040728,             0.00901,             0.00901,             0.00901
                  20,            0.055956,             0.07356,            0.023404,             0.72795,             0.11494,             0.12646,            0.061487,            0.065434,            0.068596,            0.040661,            0.008955,            0.008955,            0.008955
                  21,            0.054904,            0.075783,            0.022122,             0.69455,             0.11604,             0.12871,            0.062871,            0.065142,             0.06955,            0.039012,              0.0089,              0.0089,              0.0089
                  22,             0.05525,            0.077259,            0.021847,             0.69461,             0.13074,             0.12581,            0.063221,            0.064968,            0.070138,            0.040246,            0.008845,            0.008845,            0.008845
                  23,            0.054238,            0.072688,            0.022376,             0.70487,             0.12111,             0.12931,            0.065885,             0.06561,             0.06987,            0.042437,             0.00879,             0.00879,             0.00879
                  24,             0.05468,            0.073568,            0.021409,             0.65963,             0.11144,             0.12044,            0.059021,             0.06543,            0.071189,             0.04239,            0.008735,            0.008735,            0.008735
                  25,            0.054365,            0.073831,            0.021369,             0.71962,             0.11337,             0.12781,            0.064538,            0.065137,            0.069882,            0.039772,             0.00868,             0.00868,             0.00868
                  26,            0.054101,            0.072219,            0.020802,             0.75151,             0.11617,             0.13642,            0.064851,            0.064693,            0.070952,            0.040741,            0.008625,            0.008625,            0.008625
                  27,            0.053237,            0.072413,            0.020843,              0.7046,             0.12304,             0.13923,            0.067507,            0.065896,            0.070706,            0.040234,             0.00857,             0.00857,             0.00857
                  28,            0.053952,            0.070831,             0.02154,             0.72238,             0.12609,             0.13486,             0.06696,            0.065548,            0.069067,            0.040041,            0.008515,            0.008515,            0.008515
                  29,            0.053823,            0.071969,            0.020681,             0.73588,             0.10941,             0.13246,            0.060076,            0.065024,            0.069522,            0.040794,             0.00846,             0.00846,             0.00846
                  30,            0.052714,             0.07176,            0.020907,             0.65991,             0.12238,             0.13537,            0.067288,            0.064975,            0.070509,            0.040609,            0.008405,            0.008405,            0.008405
                  31,            0.053407,            0.071928,            0.020943,             0.71256,             0.10884,             0.12553,            0.063126,            0.065743,            0.071143,            0.041436,             0.00835,             0.00835,             0.00835
                  32,            0.052962,             0.07018,            0.020459,              0.7586,             0.11303,             0.12717,            0.062646,            0.065051,            0.069892,            0.040409,            0.008295,            0.008295,            0.008295
                  33,              0.0522,            0.072514,             0.01978,             0.76584,             0.11017,             0.13227,             0.06378,            0.065406,            0.071636,            0.041624,             0.00824,             0.00824,             0.00824
                  34,            0.052384,            0.069139,            0.019411,             0.77691,             0.10973,             0.12663,             0.06155,            0.065914,            0.070452,            0.042374,            0.008185,            0.008185,            0.008185
