               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.065485,            0.080115,            0.056893,             0.45018,            0.088539,            0.062118,            0.029961,            0.067975,            0.060203,            0.056743,            0.006436,            0.006436,            0.006436
                  38,            0.065371,             0.07852,            0.057366,             0.45078,            0.090883,            0.069103,            0.033098,            0.068475,            0.059721,            0.056966,            0.006337,            0.006337,            0.006337
                  39,             0.06475,            0.076919,            0.056177,             0.42532,            0.092573,            0.068363,            0.030639,            0.067865,            0.060225,            0.055798,            0.006238,            0.006238,            0.006238
                  40,            0.064026,            0.079761,            0.055498,             0.44213,            0.095145,            0.070962,            0.032563,            0.068791,            0.059683,            0.056335,            0.006139,            0.006139,            0.006139
                  41,             0.06407,             0.07767,            0.054625,             0.45912,             0.10074,            0.082492,            0.036415,            0.067056,            0.060603,            0.054806,             0.00604,             0.00604,             0.00604
                  42,            0.063757,            0.076906,            0.054883,             0.46626,            0.099101,            0.080338,            0.036723,            0.067767,            0.060154,            0.055267,            0.005941,            0.005941,            0.005941
                  43,            0.063344,            0.076207,            0.053673,             0.43479,             0.09801,            0.079551,            0.036462,            0.067054,            0.060072,            0.053942,            0.005842,            0.005842,            0.005842
                  44,            0.063124,            0.076388,            0.053432,             0.54697,            0.084053,            0.085325,            0.040551,            0.067086,            0.060252,            0.054332,            0.005743,            0.005743,            0.005743
                  45,            0.063368,            0.078018,             0.05266,             0.43672,             0.10335,            0.082235,            0.040235,            0.067162,            0.059728,            0.054343,            0.005644,            0.005644,            0.005644
                  46,            0.062902,            0.078341,            0.051637,             0.43198,             0.10106,            0.079632,            0.037136,            0.066809,            0.060063,            0.053697,            0.005545,            0.005545,            0.005545
                  47,            0.062286,            0.078504,            0.051824,             0.42746,             0.10873,            0.087662,            0.041666,            0.067266,             0.06041,            0.054561,            0.005446,            0.005446,            0.005446
