               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.064955,             0.08446,            0.053859,             0.42147,             0.13773,             0.13861,            0.066706,             0.06703,            0.065127,            0.052219,              0.0704,           0.0032889,           0.0032889
                   1,            0.064529,            0.080431,            0.052206,             0.26373,             0.14319,             0.10956,            0.049179,              0.0689,            0.065604,            0.051649,            0.040356,           0.0065785,           0.0065785
                   2,            0.066962,            0.081695,            0.050893,             0.31449,             0.11204,            0.091106,            0.038559,            0.071177,            0.065361,            0.053466,            0.010269,           0.0098241,           0.0098241
                   3,            0.067184,            0.080794,            0.050949,             0.43719,             0.10655,             0.10093,            0.044519,            0.072418,            0.066201,            0.055225,            0.009802,            0.009802,            0.009802
                   4,            0.066155,            0.080827,            0.050683,              0.3604,             0.11803,            0.092556,            0.037949,            0.073287,              0.0673,            0.056756,            0.009802,            0.009802,            0.009802
                   5,            0.066172,            0.079156,            0.049333,             0.37412,             0.12635,             0.10355,            0.047722,            0.071261,            0.066248,            0.054778,            0.009736,            0.009736,            0.009736
                   6,            0.065518,            0.080054,            0.048877,             0.37361,            0.097439,            0.085492,            0.036749,            0.070782,            0.066651,            0.056162,             0.00967,             0.00967,             0.00967
                   7,             0.06482,            0.082296,            0.047209,             0.33678,            0.099296,            0.090234,            0.038851,            0.071678,            0.065904,            0.056146,            0.009604,            0.009604,            0.009604
                   8,            0.064194,            0.078227,            0.046799,             0.31935,             0.11545,            0.088432,            0.036974,            0.073167,            0.068527,            0.052774,            0.009538,            0.009538,            0.009538
                   9,             0.06343,            0.076886,            0.046165,             0.32617,             0.12375,             0.10971,            0.046591,             0.07076,            0.066596,            0.053141,            0.009472,            0.009472,            0.009472
                  10,            0.063152,            0.078072,            0.044669,             0.37589,             0.14186,             0.10663,            0.044844,            0.069894,            0.066249,            0.053069,            0.009406,            0.009406,            0.009406
                  11,            0.063045,            0.079203,            0.044062,              0.3802,             0.10809,            0.095388,            0.042049,            0.069993,            0.066159,             0.05363,             0.00934,             0.00934,             0.00934
                  12,            0.062611,            0.076732,            0.042898,             0.39805,             0.12419,             0.10791,            0.049878,            0.069756,            0.065656,            0.051166,            0.009274,            0.009274,            0.009274
                  13,            0.062231,             0.07661,            0.042857,             0.32866,             0.14723,              0.1179,            0.052385,            0.071919,            0.068206,            0.053385,            0.009208,            0.009208,            0.009208
                  14,            0.061902,            0.075219,            0.041663,             0.48873,             0.10911,             0.10705,             0.04728,            0.069321,             0.06565,            0.052331,            0.009142,            0.009142,            0.009142
                  15,            0.061825,            0.075531,            0.041265,             0.34719,             0.14127,             0.12298,            0.053914,            0.069942,            0.067425,            0.053267,            0.009076,            0.009076,            0.009076
                  16,            0.061601,            0.074808,            0.040742,             0.31442,             0.12926,             0.11274,            0.049184,            0.070018,            0.066819,            0.051767,             0.00901,             0.00901,             0.00901
                  17,            0.061319,            0.074534,            0.040397,             0.26611,             0.11565,            0.096125,            0.043151,            0.069651,            0.067341,            0.050688,            0.008944,            0.008944,            0.008944
                  18,            0.060454,            0.073835,            0.039116,             0.27154,             0.14161,             0.11456,            0.049351,            0.069352,            0.067169,            0.052357,            0.008878,            0.008878,            0.008878
                  19,            0.060355,            0.073953,            0.038845,               0.294,             0.13879,             0.12077,             0.05255,            0.070664,            0.066915,            0.051264,            0.008812,            0.008812,            0.008812
                  20,            0.059838,            0.072561,            0.039011,             0.31465,             0.13679,             0.11911,            0.051373,            0.070213,            0.068457,            0.051388,            0.008746,            0.008746,            0.008746
                  21,            0.060091,            0.072569,            0.037671,             0.22746,             0.12197,            0.098519,            0.039262,            0.070431,            0.067804,            0.053275,             0.00868,             0.00868,             0.00868
                  22,            0.059242,            0.071103,            0.038224,             0.26788,             0.15518,             0.11917,            0.049686,            0.070464,            0.066515,            0.051152,            0.008614,            0.008614,            0.008614
                  23,            0.059057,            0.071075,            0.037934,              0.3092,             0.14226,             0.10849,            0.043105,            0.070133,            0.067611,            0.051585,            0.008548,            0.008548,            0.008548
                  24,            0.060031,            0.071784,            0.036849,             0.29411,             0.13425,             0.12117,            0.054833,             0.06898,            0.067191,            0.050473,            0.008482,            0.008482,            0.008482
                  25,            0.058495,             0.06952,            0.036439,             0.26628,             0.15719,             0.12532,            0.057581,             0.06938,            0.067988,            0.051262,            0.008416,            0.008416,            0.008416
